"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,99371831,10,
2017,99371835,10,
2017,99374233,1,
2017,99374708,1,
2017,99375815,1,
2017,99361689,10,
2017,98529417,10,
2017,98521545,10,
2017,98829351,1,
2017,98825678,10,
2017,106674519,1,
2017,99857493,1,
2017,99379630,1,
2017,99381202,10,
2017,99383259,9,
2017,98246739,1,
2017,98248231,9,
2017,99382556,1,
2017,105262493,10,
2017,104549379,10,
2017,99855813,1,
2017,96331134,9,
2017,99364175,10,
2017,98512344,9,
2017,96332639,1,
2017,96551549,1,
2017,98242104,1,
2017,108173824,1,
2017,104549918,6,
2017,104549918,1,
2017,103714670,1,
2017,106204470,1,
2017,103715001,9,
2017,104547636,9,
2017,104550841,10,
2017,103707441,10,
2017,106206006,1,
2017,98246817,9,
2017,98248223,9,
2017,98820239,9,
2017,98506441,9,
2017,98509182,1,
2017,98514451,1,
2017,98520523,9,
2017,98520791,1,
2017,98828669,1,
2017,98245215,1,
2017,98835247,9,
2017,98511722,9,
2017,98511651,1,
2017,98520864,1,
2017,98830452,9,
2017,106674609,1,
2017,107071002,10,
2017,107467975,1,
2017,99856614,1,
2017,99363499,1,
2017,99363780,1,
2017,99367740,1,
2017,99370506,1,
2017,99371473,10,
2017,99361278,10,
2017,99361819,1,
2017,98516516,9,
2017,99363765,1,
2017,99372780,10,
2017,99376000,9,
2017,98834016,9,
2017,98834016,6,
2017,98835790,9,
2017,99369263,1,
2017,98517730,10,
2017,105840168,10,
2017,99385987,1,
2017,99381985,1,
2017,99387213,1,
2017,98241461,1,
2017,98506845,9,
2017,99388309,1,
2017,103713101,1,
2017,99855340,1,
2017,99857414,1,
2017,99363169,10,
2017,99365021,1,
2017,99365776,1,
2017,99369535,10,
2017,96552669,9,
2017,105261743,1,
2017,108027690,8,
2017,106673912,1,
2017,104550534,1,
2017,103707438,10,
2017,106206415,1,
2017,103708946,9,
2017,103711029,1,
2017,106206042,1,
2017,106674748,1,
2017,98509898,1,
2017,98518765,1,
2017,98246515,10,
2017,98236420,10,
2017,98508685,1,
2017,99854779,9,
2017,98530042,8,
2017,98530042,9,
2017,98531028,10,
2017,98820717,9,
2017,98819685,1,
2017,106206261,1,
2017,106674335,1,
2017,105839264,10,
2017,109371822,1,
2017,99369098,1,
2017,99370322,1,
2017,99371225,10,
2017,99371212,10,
2017,99372423,1,
2017,98512830,1,
2017,99375627,1,
2017,98822241,9,
2017,99360980,9,
2017,99374287,1,
2017,98520884,1,
2017,98830037,1,
2017,98506551,10,
2017,98823897,9,
2017,98518791,1,
2017,106656660,1,
2017,99378548,1,
2017,98245361,10,
2017,104550198,1,
2017,98506819,9,
2017,99855651,9,
2017,97075585,9,
2017,99857546,1,
2017,108174055,10,
2017,108086334,10,
2017,103707221,9,
2017,99856050,1,
2017,97074921,6,
2017,96331373,1,
2017,98244654,1,
2017,106672715,1,
2017,103716228,6,
2017,106204464,1,
2017,103710668,9,
2017,103711266,1,
2017,103709941,1,
2017,106674408,1,
2017,98512677,9,
2017,98530832,1,
2017,98531161,9,
2017,98528199,9,
2017,98509640,1,
2017,98242068,1,
2017,98506483,9,
2017,99855241,1,
2017,98512000,9,
2017,98509707,1,
2017,98516154,1,
2017,105259699,9,
2017,99364655,1,
2017,99371485,1,
2017,99371899,1,
2017,99373685,9,
2017,99375182,9,
2017,99376033,6,
2017,99377185,1,
2017,98836902,9,
2017,99372435,1,
2017,99373699,1,
2017,98820397,1,
2017,109367705,9,
2017,109375578,1,
2017,106656100,10,
2017,106656653,1,
2017,99856320,9,
2017,99380931,10,
2017,98235383,1,
2017,98509805,1,
2017,99855790,10,
2017,107468114,13,
2017,103711134,10,
2017,103714654,1,
2017,104547346,9,
2017,97070008,1,
2017,97069808,1,
2017,99369385,1,
2017,106205660,1,
2017,107063950,1,
2017,104547996,1,
2017,103713006,6,
2017,103712825,1,
2017,103709380,1,
2017,103713064,10,
2017,108174188,1,
2017,105261878,10,
2017,98243921,1,
2017,98824170,1,
2017,98828241,10,
2017,98514580,10,
2017,98825717,1,
2017,99856558,9,
2017,98244941,9,
2017,98506455,9,
2017,98514015,1,
2017,98506405,10,
2017,98835349,1,
2017,105261513,1,
2017,107065122,1,
2017,108121530,1,
2017,106673747,1,
2017,99363382,10,
2017,99364410,1,
2017,99365154,10,
2017,99371401,10,
2017,99364457,10,
2017,99364132,1,
2017,99361949,1,
2017,99366323,1,
2017,99368582,1,
2017,99371102,1,
2017,99376822,10,
2017,99362672,1,
2017,99364482,1,
2017,98516635,9,
2017,98820115,1,
2017,98832264,6,
2017,98832264,1,
2017,98520685,10,
2017,99381485,1,
2017,99378787,10,
2017,99379432,10,
2017,99387040,1,
2017,99388081,10,
2017,104547208,10,
2017,96330867,10,
2017,97074777,6,
2017,99367924,1,
2017,96330529,1,
2017,98236403,9,
2017,107467894,1,
2017,106656018,10,
2017,104549391,1,
2017,104546919,9,
2017,104546919,2,
2017,103713485,1,
2017,103711086,9,
2017,103710281,1,
2017,103715599,10,
2017,103716205,1,
2017,103706869,9,
2017,103712400,1,
2017,106673937,1,
2017,98509125,9,
2017,98819765,1,
2017,98243302,1,
2017,98245003,1,
2017,99856575,9,
2017,98508820,10,
2017,98518954,9,
2017,98240314,1,
2017,98826167,1,
2017,107065517,9,
2017,99362724,1,
2017,99362985,10,
2017,99369456,1,
2017,99369848,9,
2017,99371650,1,
2017,99371801,10,
2017,98532565,9,
2017,99364122,9,
2017,99374366,10,
2017,99377834,9,
2017,98509334,1,
2017,99362352,10,
2017,99370812,9,
2017,98823877,9,
2017,108069799,1,
2017,99380200,10,
2017,98240306,1,
2017,104547160,10,
2017,104548465,9,
2017,98506801,9,
2017,99385999,6,
2017,99386427,1,
2017,96552684,6,
2017,108176898,10,
2017,97071622,1,
2017,99367403,9,
2017,99370406,10,
2017,98239962,1,
2017,98239970,1,
2017,107063098,9,
2017,103711964,1,
2017,103707801,10,
2017,103716940,9,
2017,104549620,1,
2017,106204472,1,
2017,106656499,9,
2017,98235095,17,
2017,98234199,10,
2017,98829082,10,
2017,98506842,10,
2017,98510702,1,
2017,98836262,1,
2017,98245471,1,
2017,98506477,1,
2017,98509893,1,
2017,99856569,9,
2017,107065106,1,
2017,107065115,9,
2017,105261661,1,
2017,107068948,1,
2017,107071006,10,
2017,107063525,1,
2017,109369569,9,
2017,99856126,6,
2017,99364127,10,
2017,99366215,10,
2017,99370389,1,
2017,99372351,1,
2017,99368196,9,
2017,99361110,1,
2017,99363289,10,
2017,99363827,1,
2017,99363883,1,
2017,99369919,10,
2017,99375197,1,
2017,99376060,1,
2017,99376694,9,
2017,99377840,9,
2017,99367395,1,
2017,99383231,10,
2017,99381362,9,
2017,99383919,1,
2017,98248892,1,
2017,98512866,1,
2017,99855072,10,
2017,96551389,1,
2017,105261869,1,
2017,99384264,10,
2017,99381603,9,
2017,99379496,9,
2017,99855772,10,
2017,99365816,10,
