"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2018,12,129081013,23525171
2018,12,129081706,23525173
2018,18,129074498,23531744
2018,12,129082141,23532063
2018,20,129086614,23532077
2018,12,129086672,23536785
2018,12,129086894,23536826
2018,22,129082440,23536844
2018,3,129082440,23536843
2018,12,129087061,23536861
2018,18,129087089,23536883
2018,12,129087093,23536882
2018,12,129087120,23532182
2018,20,129074878,23525328
2018,12,129087166,23525332
2018,12,129087283,23536929
2018,12,129082773,23532246
2018,12,129082789,23525364
2018,12,129075002,23532280
2018,12,129087371,23532287
2018,18,129075036,23525387
2018,20,129082896,23532300
2018,12,129087413,23525400
2018,12,129087493,23532335
2018,19,129083014,23537012
2018,12,129083060,23532351
2018,12,129087553,23537027
2018,18,129087560,23537032
2018,9,129083075,23537030
2018,12,129087657,23537064
2018,9,129075200,23525445
2018,12,129075214,23537075
2018,12,129087731,23532399
2018,12,129087738,23537081
2018,12,129087843,23537112
2018,2,129088259,23537231
2018,12,129083650,23532539
2018,12,129083695,23532551
2018,12,129083716,23537272
2018,3,129075650,23532561
2018,2,129075714,23525603
2018,12,129088461,23532595
2018,12,129083846,23537320
2018,12,129075764,23525628
2018,12,129083901,23532629
2018,11,129088566,23537360
2018,12,129075799,23525639
2018,12,129075821,23537379
2018,12,129088701,23525664
2018,9,129075910,23537415
2018,10,129075933,23525675
2018,12,129075933,23525677
2018,12,129084152,23532712
2018,3,129084204,23525705
2018,10,129084308,23532765
2018,3,129089140,23532791
2018,12,129084552,23525776
2018,20,120870998,21623581
2018,12,120871527,21623676
2018,12,120872384,21623832
2018,12,120872425,21623851
2018,12,120872449,21623855
2018,12,120873390,21624028
2018,12,120873486,21624046
2018,12,120874268,21624194
2018,12,120874277,21624198
2018,12,120874541,21624275
2018,10,120874536,21624273
2018,12,120874646,21624294
2018,20,120875070,21624352
2018,12,120875560,21624421
2018,12,120875977,21624478
2018,18,120876080,21624491
2018,12,120876904,21624642
2018,18,120876899,21624641
2018,12,120877276,21624700
2018,12,120877405,21624721
2018,12,120878146,21624847
2018,10,120878434,21624894
2018,12,120878861,21624987
2018,12,120879329,21625053
2018,12,120879606,21625105
2018,12,120880080,21625204
2018,12,120881171,21625411
2018,12,120881335,21625450
2018,18,120881410,21625472
2018,12,120881639,21625524
2018,12,120881670,21625530
2018,12,120881729,21625546
2018,18,120881754,21625552
2018,15,119146500,21262712
2018,18,119149927,21263523
2018,12,119149960,21263525
2018,20,119152280,21263945
2018,20,119153818,21264261
2018,12,119158734,21265201
2018,2,119159686,21265386
2018,2,119159692,21265388
2018,20,119162716,21265988
2018,12,119163506,21266149
2018,20,119165241,21266546
2018,12,119169112,21267376
2018,12,119169220,21267410
2018,10,119169597,21267510
2018,12,119577382,21354988
2018,12,119586324,21356724
2018,9,119587249,21356920
2018,9,119587609,21356989
2018,18,119587605,21356987
2018,12,119587663,21357011
2018,20,119587725,21357029
2018,12,119587938,21357092
2018,12,119588002,21357111
2018,12,119588055,21357129
2018,12,119588125,21357148
2018,12,119589589,21357430
2018,12,119590452,21357589
2018,12,119590638,21357637
2018,12,119591515,21357832
2018,18,119133645,21260054
2018,20,119133657,21260057
2018,20,119133836,21260093
2018,12,119133961,21260129
2018,18,119134300,21260201
2018,12,119137677,21260890
2018,20,119137728,21260905
2018,12,119138619,21261140
2018,20,119146930,21262810
2018,20,119146924,21262808
2018,12,119154152,21264320
2018,18,119157796,21265018
2018,18,119158285,21265097
2018,12,119158739,21265202
2018,12,119159383,21265316
2018,12,119159479,21265340
2018,18,119159772,21265402
2018,12,119159815,21265412
2018,12,129036166,23521752
2018,12,129031220,23521769
2018,12,129036341,23516793
2018,12,129036406,23516811
2018,12,129036773,23516890
2018,12,129036874,23516914
2018,2,129031581,23516919
2018,20,129031649,23521877
2018,12,129037090,23526895
2018,12,129027252,23521928
2018,18,129032010,23526959
2018,12,129032023,23526964
2018,11,129027329,23526966
2018,12,129027344,23517071
2018,12,129032046,23521944
2018,12,129032060,23526976
2018,12,129032111,23526997
2018,19,129027473,23521966
2018,12,129032126,23517133
2018,12,129032329,23517234
2018,12,129027800,23517258
2018,12,129038441,23527098
2018,3,129027867,23527116
2018,18,129027866,23527113
2018,12,129038507,23527126
2018,9,129032473,23527133
2018,20,129032496,23527138
2018,10,129038678,23517310
2018,20,129038702,23527169
2018,20,129028021,23527172
2018,20,129038725,23517319
2018,9,129028072,23527182
2018,3,129028100,23527187
